h,distance,angle,situation_DirectFreekick,situation_FromCorner,situation_OpenPlay,situation_SetPiece,shotType_Head,shotType_LeftFoot,shotType_OtherBodyPart,shotType_RightFoot
1.0,0.21072258785712572,0.4105215676995909,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.09693296086145008,1.0782475165585885,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,0.09775480839056881,1.0371147652519597,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,0.1348072573261863,0.5939016165096404,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.11574108562376377,0.9323567946136545,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0.0,0.21220035873800047,0.3524947512141099,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,0.18439088914585774,0.5048613716591265,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.2993008371511596,0.38578503794454583,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.14590752230751805,0.512816152833173,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.2762100637714233,0.3277966890674844,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.09780085153658141,1.0034103254616271,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,0.25793799821913294,0.3874348135971991,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.23792854772008917,0.48181521345161177,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.20784851712965932,0.5426334848853921,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.16414625540676653,0.5223878415982358,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.21023797801661245,0.28193934986953995,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.1352072380566241,0.6395332329486761,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.24461604703602288,0.3924845912234401,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.11738826682419944,0.9049633024767468,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.20260800229506065,0.37543197874972656,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.2737388958912859,0.3938102758555846,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.27986602248138504,0.3552242410670749,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.12925945821425522,0.8643399679711222,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.19720544680797628,0.590222727922916,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.2754814138633595,0.3776888552097285,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.31465061199590066,0.35971797810913775,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.26800184943856364,0.3241012311890379,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
