h,distance,angle,situation_DirectFreekick,situation_FromCorner,situation_OpenPlay,situation_SetPiece,shotType_Head,shotType_LeftFoot,shotType_OtherBodyPart,shotType_RightFoot
0.0,0.3004679738781095,0.36979573412280053,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,0.3780846559701664,0.11828443329276528,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.19394067340877208,0.23211953047055345,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,0.11414026619126108,0.27302406969319204,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.10733593394602159,0.9326498371327732,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,0.3095367458142557,0.246067960085389,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.3520184677221241,0.26676467229464706,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.2675069881489029,0.19864038356690394,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.1409183846580869,0.7909643568439341,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.3562653188523875,0.22664784236410285,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.22361799486936382,0.4752590147602185,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1.0,0.3114048381216455,0.2539970873391645,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.14427752137401156,0.6272472545018296,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,0.2522934616348428,0.45688412752934504,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.0,0.2548666397527114,0.19502177534227605,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,0.158808031423879,0.42711528331609616,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.08509407079820538,1.208286551141031,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.20800959990429468,0.405731192451515,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.4378275484928286,0.19954886170150055,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.16122036768971934,0.5484192509160699,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.3439084589497747,0.3117949112812155,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.3403483439194918,0.31618867181332444,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.29565687223408854,0.3588765932254385,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.20324618665583283,0.5735577850588627,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.18476469414571545,0.3294129852051443,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.29123359648390107,0.4035669809589959,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.05092149084602162,2.029334323052417,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.22903494735650318,0.5123573576217079,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,0.08765845515831941,1.1593724357341597,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0.0,0.2810159984392071,0.42068373635204137,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.3136383571950421,0.37734039428126986,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.08143711252186502,0.9317015568794207,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.22273973154018303,0.3886258880186332,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.2978472354193917,0.1840005099922024,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.1129291677689355,0.7565745409610702,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,0.10071742740511953,1.0715430163727666,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1.0,0.09154778655380275,1.1581170480676857,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,0.1250320184212594,0.8224714619364567,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1.0,0.3022333863695852,0.2960143899745151,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.18685022633135642,0.2727824884450044,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,0.29383160482393417,0.3656786450417249,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.27707758652160436,0.3974858215765964,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
